treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4,Sidewalk: Curb side : Cutout,Private,2010,13,13,,37.79098842,-122.4508487,POINT(-122.4508487 37.79098842),POINT(-122.4508487 37.79098842)
110156,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1041 Broadway,2,Sidewalk: Curb side : Cutout,Private,2015,8,3,3x3,37.79683937,-122.4142918,POINT(-122.4142918 37.79683937),POINT(-122.4142918 37.79683937)
261067,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,1832 Egbert Ave,1,Sidewalk: Curb side : Cutout,Private,2020,3,3,4x6,37.72754197,-122.4009645,POINT(-122.4009645 37.72754197),POINT(-122.4009645 37.72754197)
54734,Permitted Site,Olea europaea :: Olive Tree,1237 02nd Ave,1,Sidewalk: Curb side : Cutout,Private,1972,51,16,3x3,37.76552329,-122.4589859,POINT(-122.4589859 37.76552329),POINT(-122.4589859 37.76552329)
100357,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,566 Fell St,2,Sidewalk: Curb side : Cutout,Private,2012,11,1,,37.7754915,-122.427243,POINT(-122.427243 37.7754915),POINT(-122.427243 37.7754915)
254662,Permitted Site,Podocarpus gracilor :: Fern Pine,2378 22nd Ave,,Sidewalk: Curb side : Cutout,Private,2018,5,3,3x3,37.7433258,-122.4788647,POINT(-122.4788647 37.7433258),POINT(-122.4788647 37.7433258)
232231,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,111 Germania St,2,Sidewalk: Curb side : Cutout,Private,1996,27,7,Width 3ft,37.7706049,-122.4307489,POINT(-122.4307489 37.7706049),POINT(-122.4307489 37.7706049)
52357,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,625 Hyde St,2,Sidewalk: Curb side : Cutout,Private,2005,18,5,3x3,37.78666399,-122.416615,POINT(-122.416615 37.78666399),POINT(-122.416615 37.78666399)
60784,DPW Maintained,Prunus cerasifera :: Cherry Plum,114 Ewing Ter,1,Sidewalk: Curb side : Cutout,Private,1983,40,3,,37.78030327,-122.4481586,POINT(-122.4481586 37.78030327),POINT(-122.4481586 37.78030327)
173622,DPW Maintained,Pinus radiata :: Monterey Pine,1200X JUNIPERO SERRA BLVD,40,Sidewalk: Property side : Yard,Private,2017,6,3,,37.7170922,-122.4726616,POINT(-122.4726616 37.7170922),POINT(-122.4726616 37.7170922)
45078,DPW Maintained,Prunus cerasifera :: Cherry Plum,2011 29th Ave,1,Sidewalk: Curb side : Cutout,Private,2001,22,2,,37.74976354,-122.4869732,POINT(-122.4869732 37.74976354),POINT(-122.4869732 37.74976354)
31400,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',25 Mallorca Way,1,Sidewalk: Curb side : Cutout,Private,1995,28,13,,37.80115194,-122.4374616,POINT(-122.4374616 37.80115194),POINT(-122.4374616 37.80115194)
52579,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2919At Union Fillmore St,1,Sidewalk: Curb side : Cutout,Private,2006,17,8,,37.7964572,-122.4354527,POINT(-122.4354527 37.7964572),POINT(-122.4354527 37.7964572)
